A Comme Association;Ombe;A Comme Association;Bottero;0;Fantastique;default;
A Comme Association;Jasper;A Comme Association;L'Homme;0;Fantastique;default;
Apocalypse;Death;;;;;;
Apocalypse;War;;;;;;
Apocalypse;Pestilence;;;;;;
Apocalypse;Famine;;;;;;
Artemis Fowl;Artemis Fowl;;;;;;
Artemis Fowl;Butler;;;;;;
Artemis Fowl;Holly shirt;;;;;;
Artemis Fowl;Opal Koboi;;;;;;
Artemis Fowl;Mulch Diggums;;;;;;
Artemis Fowl;Foaly;;;;;;
Asterix;Asterix;;;;;;
Asterix;Obelix;;;;;;
Asterix;Assurancetourix;;;;;;
Avatar;Aang;;;;;;
Avatar;Katara;;;;;;
Avatar;Zuko;;;;;;
Avatar;Ihro;;;;;;
Avatar;Toph;;;;;;
Avatar;Sokka;;;;;;
Avatar;Azula;;;;;;
Beyonders;Galloran;;;;;;
Beyonders;Farfalee;;;;;;
Beyonders;Jasher;;;;;;
Beyonders;Nedwin;;;;;;
Beyonders;Jason;;;;;;
Beyonders;Ferrin;;;;;;
Beyonders;Rachel;;;;;;
Beyonders;Adam;;;;;;
Bioshock;Booker DeWitt;;;;;;
Bioshock;Elizabeth;;;;;;
Bioshock;Delta;;;;;;
Bioshock;Eleanor;;;;;;
Bottero;Elio;;;;;;
Bottero;Nathan;;;;;;
Bottero;Shae;;;;;;
Bottero;Maniel;;;;;;
Bottero;Bjorn;;;;;;
Bottero;Edwin;;;;;;
Bottero;Ellana;;;;;;
Bottero;Ewilan;;;;;;
Bottero;Salim;;;;;;
Bottero;Nawel+Venia;;;;;;
Bottero;Guillemot;;;;;;
Bottero;Qhadear;;;;;;
Bottero;Seigneur Sha;;;;;;
Doctor Who;The Doctor;;;;;;
Doctor Who;A Cyberman;;;;;;
Doctor Who;A Dalek;;;;;;
Doctor Who;A Sontaron;;;;;;
Dracula;Dracula;;;;;;
Dracula;Mina Murray;;;;;;
Ellana;Hurj Ingan;Ewilan;Bottero;0;Fantasy;default;
Ellana;Rous Ingan;Ewilan;Bottero;0;Fantasy;default;
Ellana;Ankil Thuirn;Ewilan;Bottero;0;Fantasy;default;
Ellana;Essindra;Ewilan;Bottero;0;Fantasy;default;
Ellana;Nillem;Ewilan;Bottero;0;Fantasy;default;
Ellana;Doudou;Ewilan;Bottero;0;Fantasy;default;
Ellana;Seigneur Kharx;Ewilan;Bottero;0;Fantasy;default;
Eragon;Eragon;Eragon;Paolini;0;default;default;
Eragon;Elsa;Eragon;Paolini;0;default;default;
Eragon;Monsieur Indestructible;Eragon;Paolini;0;default;default;
Ewilan;Edwin Til'Illan;Ewilan;Bottero;0;Fantasy;Badass;
Ewilan;Ewilan;Ewilan;Bottero;0;Fantasy;Mental;Désarmé
Ewilan;Salim;Ewilan;Bottero;0;Fantasy;Inconnu;
Ewilan;Ellana;Ewilan;Bottero;0;Fantasy;default;
